title,localisation,price,type_annonce,ad_id,description,url_annonce
"BSH kittens microchipped, vaccinated, ready UESDAY","Sheerness, Kent",550.0,Pets,,"NO DEPOSIT
Ready from Tuesday,26th of NOVEMBER
kittens will be vaccinated+ leukaemia vaccine,MICROCHIPPED, vet checked.
NO REGISTRATION
Each kitten comes with wellcome pack - food for first week,litter for first days,some snacks, Kitten Toys, Vet passport
Mom and dad are BSH family pets with GCCF registration. pedigree of 5 generations. Can be seen on collection of kitten.
Kittens are active,climbs cat tree, stairs. used to other pets at home. Eating boiled chicken fillet,all kinds of kitten wet foods. water only.
Care instructions will be sent via message to owners ASAP after collection.
Blue collar CHOCOLATE BOY available £600
Pink collar CHOCOLATE GIRL available £600
Yellow collar BLUE BOY available £550
Pink collar LILAC GIRL available £600
Thank you for looking.",https://www.gumtree.com/p/cats/bsh-kittens-microchipped-vaccinated-ready-uesday/1489889618
2 adorable male kittens for sale,London,50.0,Pets,,One short hair ginger boy and one black/brown long hair boy for sale. They are super playful and loving kittens they are super close to each other and get on so well. There’s no issues with feeding them and they use the littler box completely fine. There very independent and easy to take care of so now they are ready to find new families to love and take care of them.,https://www.gumtree.com/p/cats/2-adorable-male-kittens-for-sale-/1489891073
Maltese pup female,Glasgow,1300.0,Pets,,Maltese female pup 8 weeks old been microchipped vet checked wormed to date and first jag comes with vet card puppy pack ready to go now,https://www.gumtree.com/p/dogs/maltese-pup-female/1489890875
Pomeranian Pups,"Crumlin, County Antrim",800.0,Pets,,"Pomeranian pups

Males and females 8weeks old

Been vet health checked, vaccinated and microchipped

Ready for their new family home

Mother can been seen with pups",https://www.gumtree.com/p/dogs/pomeranian-pups-/1489890842
"Dog cage, No Text Please, Like New, X Large Boxed, See More, 3'6Lx2'6Hx2'4W used 6 times cost £110","Doncaster, South Yorkshire",70.0,Pets,1489890891.0,"Dog cage, Like New, X Large Boxed, 3'6Lx2'6Hx2'4W, (used 6 times at parents) Savic Pets Favorite, heavy hammer tone coated gauge, 2 doors, removable tray folds flat for easy storage, cost £110 new, this cage is like new, no text please.",https://www.gumtree.com/p/pet-equipment-accessories/dog-cage-no-text-please-like-new-x-large-boxed-see-more-3-6lx2-6hx2-4w-used-6-times-cost-%C2%A3110/1489890891
Large Shaving Bale,"Aviemore, Highland",9.0,Pets,1489890777.0,Large horse bedding shaving bales for sale. Cash payment on collection. £9.00 per bale.,https://www.gumtree.com/p/pet-equipment-accessories/large-shaving-bale/1489890777
Pair of female & male cat,"Folkestone, Kent",100.0,Pets,,"These two have lived together now for 3 years.
Both stunning kitties both totally different
Tiny the ginger one loved a lazy day
And cookie she lives the outside world but equally loves to snuggle up to my twins in bed. Both sleep on human beds.
Tiny is so chilled loves nothing more than being carried around like a baby.
Cookie doesn’t like to be held
Both eat very well and toilet outside.
Sadly due to no fault of there own the kitties have to go.
My dad passed away and sharing my dads dog with my sister
She’s a German shepherd and hates cats
This is a very sad Rehoming. Both cats have a cat carrier
Will come with any food we have left of the time of sale.
Both have been neutered and both have had some injections. There also up to date with the flea and worming treatment",https://www.gumtree.com/p/cats/pair-of-female-male-cat-/1489890564
Pet Carrier Excellent Condition,"Longlevens, Gloucestershire",10.0,Pets,1489890558.0,"PET CARRIER IN EXCELLENT CONDITION

PURCHASED IN EMERGENCY FOR VETERINARY VISITS BUT UNFORTUNATELY NOT NOW REQUIRED

SQUEAKY CLEAN CONDITION ; HAS BEEN WASHED WITH PET SAFE STERILISER

PHOTOGRAPHS ARE OF ACTUAL ITEM LISTED AND SHOW ALL EXTERNAL VIEWS PLUS INTERIOR

LENGTH 47cm x WIDTH 33cm x HEIGHT 28cm (18” x 13” x 11”)

SUITABLE FOR CATS & SMALL PETS

OPENS USING HINGED TOP LID OR HINGED FRONT DOOR

CLIPS APART FOR COMPACT STORAGE

COLLECTION ONLY FROM LONGLEVENS GLOUCESTER",https://www.gumtree.com/p/pet-equipment-accessories/pet-carrier-excellent-condition-/1489890558
Bates 17.5 inch (changeable gullet),"Dumfries, Dumfries and Galloway",450.0,Pets,1489890495.0,"Selling my Bates Cushion Cair Saddle
17.5 inch,
Changeable gullet
Lovely comfortable saddle
No longer needed as my horse passed.

I can post for a cost",https://www.gumtree.com/p/pet-equipment-accessories/bates-17.5-inch-changeable-gullet-/1489890495
Brand New Winter Horse Rug 6',"Aviemore, Highland",50.0,Pets,1489890472.0,Brand new winter horse rug. 6'. Dark green with white padding at the withers. Buyer to collect with cash payment on collection please.,https://www.gumtree.com/p/pet-equipment-accessories/brand-new-winter-horse-rug-6-/1489890472
Baby Female Guinea Pigs For Sale,"Bury St Edmunds, Suffolk",25.0,Pets,1489890446.0,"I now have ready for sale these stunning baby guinea pigs. I have females available in the most beautiful of colours. Use to indoors and outdoors and love their food! Already got very sweet little characters.
£25 each",https://www.gumtree.com/p/guinea-pigs/baby-female-guinea-pigs-for-sale-/1489890446
Chameleon vivarium,"Washington, Tyne and Wear",500.0,Pets,1489890284.0,"Chameleon vivarium
Everything you need
UVB
Rain system
Fans
Digital thermostat
Basking. Bulb
Led lights for plants
All accessories
Vitamin supplements
Everything",https://www.gumtree.com/p/pet-equipment-accessories/chameleon-vivarium-/1489890284
SCOTTIE DOOR KNOCKER,"Beeston, Nottinghamshire",5.0,Pets,1489890283.0,Scottie/Aberdeen Terrier Door Knocker for sale. Buyer collects from Nottingham area. Payment in cash.,https://www.gumtree.com/p/pet-equipment-accessories/scottie-door-knocker-/1489890283
Cat for sale,"Ashtead, Surrey",100.0,Pets,1489890262.0,Last three boys left for sale. Black and white . Ready for loving home .,https://www.gumtree.com/p/pet-equipment-accessories/cat-for-sale/1489890262
Bird cage,"York, North Yorkshire",15.0,Pets,1489890195.0,"Bird cage, 32inch x 18 inch x 18 inch , very good condition, no longer required, collection Kirk Hammerton",https://www.gumtree.com/p/pet-equipment-accessories/bird-cage/1489890195
1 female beautiful kitten left for sale!,"Oxford, Oxfordshire",60.0,Pets,,"Mum&dad available to view.
Kittens all litter trained.
Ready to leave 18th of October.
any questions message.
Female kitten: picture 9 with more white £175
Female Black & white: £80
Male tiger striped kittens: picture 4&5 £250 (both no longer available sold)",https://www.gumtree.com/p/cats/1-female-beautiful-kitten-left-for-sale-/1487878486
Driving harness,"Neath, Neath Port Talbot",200.0,Pets,1489889830.0,"Driving harness
Suit cob or pony 12/13 hands
All leather
Only selling as no longer being used",https://www.gumtree.com/p/pet-equipment-accessories/driving-harness-/1489889830
1 BEDROOM FLAT,"Reading, Berkshire",1450.0,Property,1374446123.0,"1 DOUBLE BEDROOM FIRST FLOOR FLAT
CLOSE TO READING TOWN CENTRE
RECENTLY RENOVATED
SELF CONTAINED
FULLY FURNISHED
PERMIT PARKING

AVAILABLE 1ST DECEMBER 2024

PRIVATE LANDLORD

STRICTLY NO COMPANY LETS!!!! NOT INTERESTED DO NOT CALL.

MESSAGE ME FOR MORE INFORMATION",https://www.gumtree.com/p/property-to-rent/1-bedroom-flat-/1374446123
Ground floor Flat two bedrooms with garden in Heston TW5,London,1795.0,Property,1489724029.0,"A spacisous ground floor two bedrooms flat partly furnished with a private garden available immediately and locatedly centrally on Cranford Lane, TW5 9PT, close to market, schools, bus and tube stations and other amenities. Separate storage area. Ample car park in the communal parking and recreation and kids play areas on the well-maintained communical spaces.",https://www.gumtree.com/p/property-to-rent/ground-floor-flat-two-bedrooms-with-garden-in-heston-tw5/1489724029
"CHEAP SECURE GARAGE FOR RENT, 24/7 IDEALLY LOCATED IN, KINGSLEY ROAD, FARNBOROUGH, HAMPSHIRE.","Farnborough, Hampshire",88.4,Property,1488750054.0,"Cheap secure garages, standard size lock up available for rent within a block of garages, new roofs fitted, ideally located in a quiet location in Kingsley Road, Farnborough, Hampshire, and are accessible 24/7. No electricity because they are only for storage, and are suitable for storing a vehicle or general household. We offer same day access to the garage. There is a £200 refundable deposit ( + Rent ) at time of booking.

As every garage is checked by our in-house maintenance team between tenants, we are confident that they are in suitable condition, therefore we do not offer internal viewings of the garages.

We do recommend that you visit the site to ensure that you are happy with the site access and location. Please send a enquiry or callus if you are interested. Garages are available on a first come, first served basis.

ID & Proof of Address will be required to process any application.",https://www.gumtree.com/p/garage-parking-to-rent/cheap-secure-garage-for-rent-24-7-ideally-located-in-kingsley-road-farnborough-hampshire./1488750054
Established Barber Business for Sale with Strong Goodwill and Eight-Year Lease,London,50000.0,Property,1487350597.0,"An excellent opportunity to acquire a thriving barber business with a loyal customer base and proven financial performance. Located in a busy area with high footfall, this Ltd business offers stability and growth potential.
1. Business Overview:
• Established barber shop with a reputation for quality service.
• Loyal clientele and consistent repeat business.
2. Financials:
• Annual gross takings: £80,000.
• Goodwill valuation: £30,000.
3. Lease Information:
• 8 years remaining on a secure lease.
• Rent terms and landlord details available upon request.
4. Fixtures and Fittings:
• Valued at approximately £10,000.
• Includes barber chairs, mirrors, waiting area furniture, and other essential equipment.
5. Location:
• Prime area with excellent visibility and foot traffic.
• Nearby complementary businesses boost customer flow.

Why Buy This Business?

• Turnkey Opportunity: Walk in and start operating immediately.
• Growth Potential: Room to expand services (e.g., men’s grooming, retail products).
• Low Overheads: Rented premises with manageable costs.
• Proven Success: Steady gross income with room for further growth.

Asking Price

• Offers invited around £50,000

Contact Details

• For more details or to arrange a viewing, please contact me. Serious inquiries only.",https://www.gumtree.com/p/property-for-sale/established-barber-business-for-sale-with-strong-goodwill-and-eight-year-lease/1487350597
Medical - Wellness - Beauty - Therapy - Aesthetic - Massage Rooms To Rent in Chiswick,London,800.0,Property,1483690909.0,"Are you a Medical, Beauty, Wellness, Therapy Professional, looking for the perfect affordable space to grow your practice or business, personalise your suite with your unique, creative touch?

Saachii Wellness Rooms provide:

- CQC-Ready Rooms: Fully compliant and equipped with sinks in every room for your convenience.
- 24/7 Access: Flexibility to operate on your schedule.
- Air Conditioning In Every Room: Ensuring a comfortable environment for you and your clients.
- Personalisation Freedom: Make the space your own to reflect your brand.
- Flexible Contracts: Tailored to suit your business needs, with all bills included, minimum 6 months.
- Super-Fast Internet: Stay connected with high-speed internet access.
- Smart Mobile Door Entry: Seamless access via our app for enhanced security and ease.

Contact us today to find out more and schedule a viewing of our exceptional spaces!

Turnham Green & Chiswick Park Underground just a short walk.

Instagram: @saachii_wellness_rooms
Facebook: Saachii Wellness Rooms",https://www.gumtree.com/p/commercial-property-to-rent/medical-wellness-beauty-therapy-aesthetic-massage-rooms-to-rent-in-chiswick/1483690909
"2 bedroom house in Station Road, Westcliff-on-sea, SS0 7SB","Westcliff-on-Sea, Essex",200000.0,Property,1483046738.0,"Situated in a sought after location is this Two bedroom flat. The property offers TWO good sized bedrooms , shower room and modern kitchen. The property is within close proximity to local amenities, schools, bus routes, town centre, Cliff Pavilion and airport.
Agent: PBDEV LTD
Agent Ref: 1652428",https://www.gumtree.com/p/property-for-sale/2-bedroom-house-in-station-road-westcliff-on-sea-ss0-7sb/1483046738
"6 bedroom house in Richmond Road, Manchester, M14 (6 bed) (#2282071)",Manchester,4615.0,Property,1489185374.0,"No Agent Fees
Only Available to Students
Bills Included
Property Reference Number: 2282071

£177.50 P.P.P.W. Utility Bills, Superfast WIFI.  Newly Refurbished Luxury 6 bed student House available July 2025. Flexible Deposit options - **£250.00 to secure property**.Stunning Hi Spec fully integrated Kitchen, Great Location Close to Wilmslow Road Shops/Bus routes/Nightlife. 2 x New Hi Spec Bathrooms, large open plan lounge, new carpets/wooden floors throughout, 6 x Large double bedrooms, 2 x Large Flat screen 4K Ultra Internet TV's, TV /USB points in every Bedroom. Large outside BBQ Area. Everything absolutely Show Home Standard. Maintenance call out service provided by in house team. Evening/weekend/Video viewings available 7 Days. 

We are proud to offer this delightful 6 bedroom, 2 bathroom end terrace in a great location. Available to students only.

Available to move in from 01 July 2025, this property benefits from available parking, and garden access. Property is offered fully furnished.

Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing!

Summary

Rent £4,615.00 per month 
Deposit / Bond is £2700.00

Minimum tenancy is 12 months
Maximum number of tenants is 6

Summary & Exclusions:
- Rent Amount: £4,615.00 per month (£1,065.00 per week)
- Deposit / Bond: £2,700.00
- 6 Bedrooms
- 2 Bathrooms
- Property comes furnished
- Available to move in from 01 July, 2025
- Minimum tenancy term is 12 months
- Maximum number of tenants is 6
- Students ONLY.
- No Pets, sorry
- No Smokers
- Not Suitable for Families / Children
- Bills Included
- Property has parking
- Property has garden access
- EPC Rating: D

If calling, please quote reference: 2282071

Fees:
You will not be charged any admin fees.

** Contact today to book a viewing and have the landlord show you round! **
Request Details form responded to 24/7, with phone bookings available 9am-9pm, 7 days a week.

OpenRent is a proud member of the Property Ombudsman and holds comprehensive Client Money Protection as a member of the government-authorised Propertymark Client Money Protection scheme.

OpenRent is a registered agent in Scotland with registration number LARN1809026 and is a member of RentSmart Wales with license number #LR-75033-48352.

OpenRent Ref: 2282071
Agent: OpenRent
Agent Ref: Reference_Number_2282071",https://www.gumtree.com/p/property-to-rent/6-bedroom-house-in-richmond-road-manchester-m14-6-bed-2282071-/1489185374
"5 bedroom house in High Gate, Helpringham, Sleaford, NG34 0RD","Sleaford, Lincolnshire",575000.0,Property,1486367075.0,"Five Double Bedrooms - Barn Conversion - Fully Renovated Throughout - Open Plan Living Kitchen Diner - Two Ensuites & Bathroom - Gated Driveway & Garage - Immaculate Throughout - Refurbished to a Very High Standard

Perfect for retirees, professionals or families

Helpringham is a pretty village 7 miles from Sleaford, nestled between the A17 and A52. The village has a primary school, post office and the Brass Windmill Public House. Sleaford has a train station with links to Grantham. Grantham is only a short journey with the High Speed rail link to London in just over an hour.

This bespoke, individual barn conversion has been fully renovated throughout to an exceptional standard, with everything brand new.

Accommodation: The heart of the home is a stunning open-plan living kitchen diner, featuring a Shaker-style kitchen with integrated appliances, including an oven, induction hob, and microwave. The central island is complemented by oak worktops, while a floor-to-ceiling picture window floods the space with light. The entire area is finished with Amtico flooring, offering both style and practicality. The dining area flows seamlessly into the kitchen, and a separate lounge boasts a feature fireplace with an electric fire and media wall.

The family bathroom is beautifully appointed with a freestanding bath, a double walk-in shower cubicle, and twin wash hand basins.
Three spacious double bedrooms are located on the ground floor, all with underfloor heating. Two feature Velux windows, while the third has French doors leading to the outside and an ensuite shower room with a double walk-in shower.

First Floor: A stylish mezzanine landing leads to two additional double bedrooms, one of which benefits from an ensuite bathroom.
Agent: PBDEV LTD
Agent Ref: 1721520",https://www.gumtree.com/p/property-for-sale/5-bedroom-house-in-high-gate-helpringham-sleaford-ng34-0rd/1486367075
"4 bedroom house in Filey Road, Manchester, M14 (4 bed) (#2282881)",Manchester,2418.0,Property,1489185360.0,"No Agent Fees
Only Available to Students
Property Reference Number: 2282881

£139.50 PPPW excluding Utility Bills . 

We are proud to offer this delightful 4 bedroom, 1 bathroom terraced house in a great location. Available to students only. 

Available to move in from 01st July 2025. This property benefits from available parking, and yard access. Property is offered furnished.

Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing!

Summary

Rent £2418.00 per month (£558 per week)
Deposit / Bond is £1800.00

Minimum tenancy is 12 months
Maximum number of tenants is 4

Summary & Exclusions:
- Rent Amount: £2,418.00 per month (£558.00 per week)
- Deposit / Bond: £1,800.00
- 4 Bedrooms
- 1 Bathrooms
- Property comes furnished
- Available to move in from 01 July, 2025
- Minimum tenancy term is 12 months
- Maximum number of tenants is 4
- Students ONLY.
- No Pets, sorry
- No Smokers
- Not Suitable for Families / Children
- Bills not included
- Property has parking
- Property has garden access
- EPC Rating: C

If calling, please quote reference: 2282881

Fees:
You will not be charged any admin fees.

** Contact today to book a viewing and have the landlord show you round! **
Request Details form responded to 24/7, with phone bookings available 9am-9pm, 7 days a week.

OpenRent is a proud member of the Property Ombudsman and holds comprehensive Client Money Protection as a member of the government-authorised Propertymark Client Money Protection scheme.

OpenRent is a registered agent in Scotland with registration number LARN1809026 and is a member of RentSmart Wales with license number #LR-75033-48352.

OpenRent Ref: 2282881
Agent: OpenRent
Agent Ref: Reference_Number_2282881",https://www.gumtree.com/p/property-to-rent/4-bedroom-house-in-filey-road-manchester-m14-4-bed-2282881-/1489185360
house for swap (Downpatrick),"Downpatrick, County Down",2418.0,Property,1489892126.0,"3 bedroom house, 3 big rooms, front and back gardens, upstairs bathroom and toilet, downstairs toilet, siitingroom, kitchen and dinning room( lots of storage rooms) looking for swap to Ards areas ( Comber, Newtonards,Bangor) or close to them.. no time wasters pls",https://www.gumtree.com/p/home-swap/-house-for-swap-downpatrick-/1489892126
"Rent Double Room - Montagu Road, Edmonton N18 2LX",London,650.0,Property,1483778744.0,"Working Professional Male

Double Loft Room
£650 PCM
All Bills Included
No Couples

Address: Montagu Road, Edmonton N18 2LX

The property is a short walk from Meridian Water National Rail Station (Tottenham Hale 5 mins, Stratford 15 mins) as well as easy access to the A406 and the local bus network.",https://www.gumtree.com/p/property-to-rent/rent-double-room-montagu-road-edmonton-n18-2lx/1483778744
"4 bedroom house in High Street, Hatfield, Doncaster, DN7 6RS","Hatfield, South Yorkshire",575000.0,Property,1483046723.0,"***STUNNING EXTENDED DETACHED FAMILY HOME***SPACIOUS & CONTEMPORARY THROUGHOUT***FOUR BEDROOMS, MASTER WITH ENSUITE***TASTEFUL & STYLISH DECOR ***OPEN PLAN KITCHEN/DINING & FAMILY AREA***HOME OFFICE/STUDY***LUXURY BATHROOM***UTILITY ROOM***TV ROOM***

Simply Stunning property!! Providing a fabulous spacious family home, recently extended, refurbished and decorated throughout!! Offering contemporary living in the highly sought after village of Hatfield ideally located close to local amenities shops, schools, bars and restaurants.

The property briefly comprises of hallway, spacious living room, TV room, fabulous open plan contemporary kitchen/dining room with island and additional family area, utility room, downstairs WC/cloakroom. To the first floor, four double bedrooms, master with modern ensuite shower room and luxurious family bathroom. Outside, gated paved driveway leads to integral garage with low maintenance landscaped garden areas. At the rear of the property a private rear garden with patio area, perfect for enjoying this fabulous outside space.

Situated within the highly regarded town of Hatfield in South Yorkshire, close to Doncaster, Epworth and Scunthorpe, with good road links to M18/ M62/A1 and M180 motorway network Links. Hatfield offers good schools, shops, supermarkets, restaurants, public houses. Doncaster Railway Network offers fast links to both North and South and Robin Hood Airport is approx. 8 miles away.
Agent: PBDEV LTD
Agent Ref: 1397413",https://www.gumtree.com/p/property-for-sale/4-bedroom-house-in-high-street-hatfield-doncaster-dn7-6rs/1483046723
"1 bedroom in Wellesley Avenue, Hull, HU6 (#2282830)","Hull, East Yorkshire",159.99,Property,1489185353.0,"No Agent Fees
Room Only (Shared House)
Bills Included
Property Reference Number: 2282830

**The property is currently under going extensive refurbishment works and is due to complete at the end of November 2024 - All viewings are welcome during the refurbishment**

We have gorgeous en-suite bedrooms available in a fully renovated house in a tree lined street just a 10 minutes walk from the University or a 10-12 minute drive to either Hull Royal Infirmary or Castle Hill Hospital.

A weekly cleaner, Netflix, super fast internet, free on and off street parking and all bills are included!

Set over 2 floors, this spacious house has 6 en-suite bedrooms and 1 off-suite bedroom. A large open plan kitchen and lounge with loads of sofa space, a 50inch tv on the wall and a communal Netflix account. There is also super fast broadband throughout the house!

The kitchen and communal areas are fully equipped with everything that you will need to move straight in... fridge, freezer, washing machine, pots, pans, glasses, plates... you name it, the house has it!

Your bedroom will have a double bed, mattress with new mattress protector, wardrobe, chest of drawers, bedside table, lamp and mirror. Each of the bedrooms is also fitted with a TV aerial and Ethernet point, if you wish to bring your own TV for your room!

Parking is available for three cars off street - this is first come first serve basis and there is free on street parking outside the house.

Your rent includes unlimited super fast broadband, Netflix, council tax, water, TV license, gas/electric and a weekly cleaner!! There is nothing additional for you to pay on top of your rent.

If you are interested in knowing more or wish to view then please get in touch :)

Hope to hear from you soon!

Summary & Exclusions:
- Rent Amount: £693.33 per month (£160.00 per week)
- Deposit / Bond: £799.99
- 7 Bedrooms
- 7 Bathrooms
- Property comes furnished
- Available to move in from 15 December, 2024
- Minimum tenancy term is 6 months
- Maximum number of tenants is 1
- No Students
- No Pets, sorry
- No Smokers
- Not Suitable for Families / Children
- Bills Included
- Property has parking
- Property has garden access
- EPC Rating: EPC Not Required (Shared Accommodation)

If calling, please quote reference: 2282830

Fees:
You will not be charged any admin fees.

** Contact today to book a viewing and have the landlord show you round! **
Request Details form responded to 24/7, with phone bookings available 9am-9pm, 7 days a week.

OpenRent is a proud member of the Property Ombudsman and holds comprehensive Client Money Protection as a member of the government-authorised Propertymark Client Money Protection scheme.

OpenRent is a registered agent in Scotland with registration number LARN1809026 and is a member of RentSmart Wales with license number #LR-75033-48352.

OpenRent Ref: 2282830
Agent: OpenRent
Agent Ref: Reference_Number_2282830",https://www.gumtree.com/p/property-to-rent/1-bedroom-in-wellesley-avenue-hull-hu6-2282830-/1489185353
"4 bedroom house in Meadow Lane, North Hykeham, Lincoln, LN6 9RQ","North Hykeham, Lincolnshire",290000.0,Property,1488954262.0,"Four Double Bedrooms - Extended Semi Detached - Bespoke Kitchen with Central Island - Separate Lounge - Garden Room - Utility & WC - Four Piece Bathroom - Attic room - Driveway

Perfect for families

The property is positioned in a popular residential location in North Hykeham to the south of the Cathedral City of Lincoln which is popular for its wealth of local shops, schools and amenities as well as easy access to the City Centre and A46 bypass.

This beautifully extended property combines charm with modern upgrades, offering spacious living areas, high-quality finishes, and flexible spaces suited to a range of needs. Thoughtfully designed with a luxury feel, this home is perfect for families and discerning buyers.
Agent: PBDEV LTD
Agent Ref: 1756525",https://www.gumtree.com/p/property-for-sale/4-bedroom-house-in-meadow-lane-north-hykeham-lincoln-ln6-9rq/1488954262
Double Room,London,800.0,Property,1489892120.0,"Double room for rent at 10 bynon Avenue bexleyheath DA7 4dp. Suitable for students, couples.",https://www.gumtree.com/p/property-to-share/double-room/1489892120
